2026-04-13 19:09:29.254 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BQLoginController.class]
2026-04-13 19:09:29.255 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BqParamDataController.class]
2026-04-13 19:09:29.256 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BqParamGroupController.class]
2026-04-13 19:09:29.256 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BqParamItemController.class]
2026-04-13 19:09:29.257 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BqPatientController.class]
2026-04-13 19:09:29.258 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\BqRegistrationController.class]
2026-04-13 19:09:29.259 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\mvc\BQDownloadController.class]
2026-04-13 19:09:29.261 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\mvc\BQErrorController.class]
2026-04-13 19:09:29.261 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbAnnotationController.class]
2026-04-13 19:09:29.263 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbAttachmentController.class]
2026-04-13 19:09:29.263 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbBbsController.class]
2026-04-13 19:09:29.264 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbCategoryMappingController.class]
2026-04-13 19:09:29.264 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbCheckItemController.class]
2026-04-13 19:09:29.265 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbCollectorController.class]
2026-04-13 19:09:29.265 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbCustomerController.class]
2026-04-13 19:09:29.266 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbDeptController.class]
2026-04-13 19:09:29.266 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbDiagnosisDictController.class]
2026-04-13 19:09:29.267 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbDrugController.class]
2026-04-13 19:09:29.267 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbEnumHeaderController.class]
2026-04-13 19:09:29.268 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbFeeController.class]
2026-04-13 19:09:29.268 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbFeeItemController.class]
2026-04-13 19:09:29.269 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbFieldAliasController.class]
2026-04-13 19:09:29.269 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbFlowController.class]
2026-04-13 19:09:29.270 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbGroupController.class]
2026-04-13 19:09:29.270 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbHolidayController.class]
2026-04-13 19:09:29.271 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbKindController.class]
2026-04-13 19:09:29.271 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbKindTemplateController.class]
2026-04-13 19:09:29.272 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbMedicalRecordController.class]
2026-04-13 19:09:29.272 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbMenuController.class]
2026-04-13 19:09:29.273 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbPatientController.class]
2026-04-13 19:09:29.273 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbPrescriptionController.class]
2026-04-13 19:09:29.273 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbPrescriptionItemController.class]
2026-04-13 19:09:29.274 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbRecordController.class]
2026-04-13 19:09:29.274 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbRecordQualityControlController.class]
2026-04-13 19:09:29.275 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbRecordTrackController.class]
2026-04-13 19:09:29.275 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbRegistrationController.class]
2026-04-13 19:09:29.276 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbRoleController.class]
2026-04-13 19:09:29.276 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbSpecialDictController.class]
2026-04-13 19:09:29.277 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbTenantController.class]
2026-04-13 19:09:29.277 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbTreatItemController.class]
2026-04-13 19:09:29.277 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbUserController.class]
2026-04-13 19:09:29.278 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\controller\TbWatermarkController.class]
2026-04-13 19:09:29.309 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqEnumItemServiceImpl.class]
2026-04-13 19:09:29.310 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqFullTextServiceImpl.class]
2026-04-13 19:09:29.310 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqLogServiceImpl.class]
2026-04-13 19:09:29.310 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqParamDataServiceImpl.class]
2026-04-13 19:09:29.311 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqParamGroupServiceImpl.class]
2026-04-13 19:09:29.311 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqParamItemServiceImpl.class]
2026-04-13 19:09:29.311 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqPatientServiceImpl.class]
2026-04-13 19:09:29.311 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\BqRegistrationServiceImpl.class]
2026-04-13 19:09:29.312 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\security\BQSecurityUserDetailsService.class]
2026-04-13 19:09:29.312 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\TbAnnotationServiceImpl.class]
2026-04-13 19:09:29.312 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\TbAttachmentServiceImpl.class]
2026-04-13 19:09:29.313 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\TbBbsServiceImpl.class]
2026-04-13 19:09:29.313 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\TbCategoryMappingServiceImpl.class]
2026-04-13 19:09:29.313 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\TbCheckItemServiceImpl.class]
2026-04-13 19:09:29.314 [restartedMain] DEBUG o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\Wcke\000SourceCode\IDEAProjects\Clinic-Server\target\classes\com\qkplm\clinic\clinicserver\service\impl\TbCollectorServiceImpl.class]
